Species		Std		a 		b 		c 		d 		e 		H 	He	C	N	O	F	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni
AlOH		0	    	 1.01901E+06	-2.39925E+05	6.15071E+01	 1.52650E-04	-1.37783E-08	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlO2		0	    	 2.20865E+05	-2.20035E+05	5.84540E+01	 0.00000E+00	 0.00000E+00	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlO2H		0	   	 9.94834E+05	-3.66363E+05	9.09265E+01	 1.03148E-04	-8.91785E-09	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlS		0	     	 7.85806E+05	-1.00461E+05	2.72853E+01	 1.99862E-04	-2.02304E-08	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Al2O		0	    	 6.07281E+04	-2.52793E+05	5.85868E+01	 2.94808E-05	 0.00000E+00	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Al2O2		0	   	 3.06232E+04	-3.72087E+05	9.07532E+01	 5.11736E-05	 0.00000E+00	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Ar		0       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C		19       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH		58      	 4.08366E+05	-8.44491E+04	2.54152E+01	 1.07036E-04	-1.04264E-08	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH2		59	     	 6.99399E+05	-1.88493E+05	5.33630E+01	 5.15801E-04	-3.28189E-08	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH3		60	     	 1.06713E+06	-3.01022E+05	8.47773E+01	 6.14095E-04	-4.34934E-08	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4		21     	 	 1.51591E+06	-4.09711E+05	1.19952E+02	 5.71281E-04	-4.77554E-08	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CN		38      	 4.51527E+05	-1.83350E+05	2.97771E+01	 1.58267E-04	-1.72510E-08	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO		20      	 3.30340E+05	-2.59792E+05	3.23662E+01	 3.33339E-04	-1.69521E-08	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COS		49     	 	 3.84946E+05	-3.33394E+05	6.59981E+01	-6.67359E-05	 0.00000E+00	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CO2		52     	 	 5.34072E+05	-3.88536E+05	6.95497E+01	 0.00000E+00	 0.00000E+00	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP		0      	 	 1.88786E+05	-1.41029E+05	2.74762E+01	 2.23829E-04	 3.00269E-09	0	0	1	0	0	0	0	0	0	0	0	1 	0	0	0	0	0	0	0	0	0	0	0
CS		50       	 2.54293E+05	-1.72618E+05	3.05596E+01	 2.67035E-04	-1.59172E-08	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CS2		0     	 	 2.41613E+05	-2.78285E+05	6.52867E+01	-1.07214E-04	 0.00000E+00	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C2		26      	 2.26786E+05	-1.43775E+05	2.92429E+01	 1.69434E-04	-1.79867E-08	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2H		64     	      	 6.31402E+05	-2.85395E+05	5.97427E+01	 1.13748E-04	-2.04586E-08	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2H2		27    		 8.11613E+05	-3.99041E+05	9.15250E+01	 2.53889E-05	-2.03949E-08	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2H4		29    		 1.57756E+06	-5.51401E+05	1.51644E+02	 2.93007E-04	-3.54396E-08	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2N		0	     	 3.05118E+05	-3.24444E+05	5.98669E+01	 0.00000E+00	 0.00000E+00	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2N2		0	    	 1.77312E+05	-4.97555E+05	9.62430E+01	-4.71719E-05	 0.00000E+00	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2O		0     		 3.56583E+05	-3.36691E+05	6.30120E+01	-2.15913E-04	 1.12031E-08	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3O2		0	    	 2.25493E+05	-6.59131E+05	1.31404E+02	-2.12679E-04	 0.00000E+00	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ca		0        	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CaCl		0	    	 2.89596E+05	-9.88707E+04	2.13234E+01	-1.27956E-04	 4.49210E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
CaCl2		0	   	 2.75428E+05	-2.15484E+05	4.91645E+01	-4.41153E-04	 7.17853E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
CaF		0     		 2.78304E+05	-1.28731E+05	2.27796E+01	-1.59953E-04	 4.91532E-08	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CaF2		0	    	 3.59500E+05	-2.70725E+05	5.10997E+01	-1.96516E-04	 6.15049E-08	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CaH		0	     	 1.13400E+01	-3.01440E+00	4.23490E-01	-6.14670E-02	 3.16390E-03	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CaO		0	     	 9.82733E+05	-9.79615E+04	3.02045E+01	-1.63458E-03	 1.22927E-07	0	0	0	0	1 	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CaOH		0	    	 4.81970E+05	-2.04396E+05	5.14480E+01	-1.90986E-04	 4.94457E-08	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CaO2H2		0	   	 7.53266E+05	-4.17799E+05	1.08393E+02	-3.36165E-04	 6.07810E-08	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CaS		0	     	 7.49535E+05	-8.48374E+04	2.86689E+01	-1.90377E-03	 1.60756E-07	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Cl		0        	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cr		0		 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CrH		0      		 1.22970E+01	-4.45050E+00	5.00790E-01	-7.13060E-02	 3.62240E-03	1	0	0	0	0	0	0	0	0	0	0	0 	0	0	0	0	0	0	0	1	0	0	0
CrO		0     		 4.85552E+04	-1.10261E+05	2.42209E+01	 4.42743E-04	 6.46033E-09	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CrO2		0	    	 1.63667E+05	-2.33846E+05	5.71937E+01	 4.71718E-04	 1.12343E-08	0	0	0	0	2	0	0	0	0	0	0	0 	0	0	0	0	0	0	0	1	0	0	0
CrO3		0	    	 1.61401E+05	-3.45686E+05	9.73923E+01	 1.82878E-04	 2.60013E-08	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
F		0        	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fe		0       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FeCl		0	    	 1.19721E+05	-6.96358E+04	2.31413E+01	 1.16921E-04	 1.74760E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
FeCl2		0	   	 2.31158E+05	-1.93215E+05	5.39960E+01	-2.58974E-04	 3.49128E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
FeF		0	     	 1.80919E+05	-1.08616E+05	2.64979E+01	 2.58587E-04	 9.59261E-09	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0 	0	0	0	0	0	0	1	0
FeF2		0	    	-2.22466E+03	-2.30776E+05	5.73627E+01	-2.39486E-04	 3.74619E-08	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0 	0	0	0	0	0	0	1	0
FeO		0	     	 2.18545E+05	-1.00927E+05	2.69229E+01	 2.53772E-04	 4.37490E-09	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FeO2H2		0	  	 4.18570E+05	-4.05885E+05	1.14517E+02	-2.48115E-04	 3.53182E-08	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FeS		0     		 4.56757E+04	-7.77456E+04	2.39279E+01	 3.02718E-04	 6.29763E-09	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
H		3       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN		37     		 6.02063E+05	-3.08724E+05	6.00139E+01	 1.66592E-04	-1.13252E-08	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCNO		72    		 7.64992E+05	-4.26302E+05	9.19995E+01	 2.86974E-04	-1.52951E-08	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCO		61     		 6.07224E+05	-2.77376E+05	5.66759E+01	 4.80619E-04	-2.82627E-08	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCl		0     		 4.30684E+05	-1.06291E+05	2.61097E+01	 4.66915E-04	-2.90088E-08	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HF		0       	 4.48170E+05	-1.39254E+05	2.76153E+01	 5.30150E-04	-3.37792E-08	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0 	0	0	0	0	0	0	0	0
HNO		16     		 6.24780E+05	-2.05700E+05	5.64594E+01	 4.64490E-04	-2.07625E-08	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNO2_t		17	   	 6.98937E+05 	-3.08668E+05	8.96184E+01	 2.67463E-04	-1.22202E-08	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNO2_c		0	   	 7.03172E+05	-3.08237E+05	8.97218E+01	 2.56750E-04	-1.15238E-08	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNO3		18	    	 8.02373E+05	-3.82689E+05	1.26355E+02	 1.65050E-05	-2.02960E-10	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2		53      	 4.25321E+05	-1.07123E+05	2.69980E+01	 5.48280E-04	-3.81498E-08	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2CO		22    		 9.91212E+05	-3.70812E+05	9.03305E+01	 4.39620E-04	-3.01383E-08	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2O		7	     	 8.66184E+05	-2.27857E+05	5.61473E+01	 7.62548E-04	-4.95254E-08	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2S		45     		 7.41911E+05	-1.81063E+05	5.35114E+01	 4.94594E-04	-3.39231E-08	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H2SO4		73     		 9.36433E+05	-5.92570E+05	1.90572E+02	-2.99786E-04	 1.02593E-08	2	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
He		0         	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K		0		 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KCl		0     		 4.57163E+05	-1.04386E+05	2.38671E+01	-3.71773E-04	 6.22590E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
KF		0      		 4.34955E+05	-1.20941E+05	2.53020E+01	-3.91875E-04	 6.42692E-08	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KH		0      		 4.61020E+05	-4.69400E+04	2.20510E+01	-4.10568E-04	 6.33994E-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KO		0      		 4.11974E+05	-6.63403E+04	2.28416E+01	-4.41578E-04	 6.69852E-08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KOH		0       	 6.10635E+05	-1.92537E+05	5.26452E+01	-3.87715E-04	 6.44699E-08	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K2SO4		0     		 7.69152E+05	-6.14396E+05	1.92611E+02	-2.05045E-03	 2.04040E-07	0	0	0	0	4	0	0	0	0	0	0	0 	1	0	0	2	0	0	0	0	0	0	0
Mg		0       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MgCl		0	    	 2.61583E+05	-7.64530E+04	2.13899E+01	 1.40106E-04	 4.37268E-10	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MgCl2		0	   	 2.24867E+05	-1.88677E+05	5.03953E+01	-6.12749E-05	 1.16459E-08	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MgF		0     		 2.46987E+05	-1.12516E+05	2.29716E+01	 1.27751E-04	 9.28918E-10	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0 	0	0	0	0	0	0	0	0
MgF2		0	    	 3.11060E+05	-2.49116E+05	5.34897E+01	 2.00443E-04	 0.00000E+00	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0 	0	0	0	0	0	0	0	0
MgH		0     	 	 2.90391E+05	-4.91449E+04	1.96635E+01	 1.52956E-04	-6.37175E-09	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MgN		0	     	 2.50267E+05	-8.09495E+04	2.05587E+01	 4.19383E-05	 1.08947E-08	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MgO		0	     	-3.68825E+05	-7.91991E+04	2.24741E+01	-3.33176E-04	 3.46191E-08	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MgOH		0	    	 4.47672E+05	-1.89626E+05	5.17801E+01	 1.15404E-04	 3.34857E-10	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MgO2H2		0	  	 7.28023E+05	-4.00948E+05	1.11212E+02	 5.21735E-05	 1.76309E-11	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MgS		0 	    	-3.64897E+05	-6.47278E+04	2.04150E+01	-1.93425E-04	 2.73835E-08	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Mn		0		 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MnH		0     		 1.17360E+01	-3.68340E+00	4.16090E-01	-6.05280E-02	 3.12470E-03	1	0	0	0	0	0	0	0	0	0	0	0 	0	0	0	0	0	0	0	0	1	0	0
MnO		0     		 1.32460E+01	-5.47690E+00	4.31250E-01	-6.30930E-02	 3.26060E-03	0	0	0	0	1	0	0	0	0	0	0	0 	0	0	0	0	0	0	0	0	1	0	0
MnS		0     		 1.31510E+01	-4.38210E+00	4.57370E-01	-6.68490E-02	 3.45210E-03	0	0	0	0	0	0	0	0	0	0	0	0 	1	0	0	0	0	0	0	0	1	0	0
N		8       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2		55      	 3.80144E+05	-2.28698E+05	3.09554E+01	 2.71276E-04	-6.21348E-09	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2O		11     		 4.31224E+05	-2.69421E+05	6.44178E+01	 1.28733E-05	 7.77099E-09	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NO2		13     		 4.70857E+05	-2.28020E+05	6.18243E+01	 3.24505E-04	-9.54732E-09	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NO3		14     		 4.42258E+05	-2.78648E+05	9.82856E+01	 6.50496E-06	 7.35167E-09	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2O4		0    		 5.92417E+05	-4.67573E+05	1.63906E+02	-5.25057E-04	 3.57897E-08	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCO		39     		 3.22530E+05	-3.08692E+05	6.20446E+01	 5.46329E-05	 0.00000E+00	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NH		57      	 4.11181E+05	-7.79746E+04	2.42428E+01	 4.09611E-04	-2.55866E-08	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NH2		10     		 8.79993E+05	-1.77983E+05	5.28632E+01	 6.37403E-04	-4.63748E-08	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NH3		9     		 1.23626E+06	-2.89588E+05	8.52686E+01	 5.66638E-04	-3.66862E-08	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NO		12      	 3.18598E+05	-1.53355E+05	2.79315E+01	 2.76970E-04	-9.14848E-09	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP		0      		 2.17270E+05	-1.69530E+05	2.77341E+01	 2.05285E-04	 8.52568E-09	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Na		0       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NaCl		0	    	 3.07543E+05	-1.00087E+05	2.36342E+01	 1.24759E-05	 1.23522E-08	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NaF		0     		 2.89112E+05	-1.15949E+05	2.50664E+01	-1.39764E-05	 1.43089E-08	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NaH		0     		 3.27109E+05	-5.04181E+04	2.20731E+01	-3.03192E-05	 1.29540E-08	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NaO		0     		 2.63420E+05	-6.70027E+04	2.25316E+01	-5.08732E-05	 1.70476E-08	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NaOH		0	    	 4.58004E+05	-1.87821E+05	5.20271E+01	-7.30966E-06	 1.43238E-08	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Na2SO4		0	  	 4.84202E+05	-6.07375E+05	1.92565E+02	-1.29338E-03	 1.03953E-07	0	0	0	0	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ne		0       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ni		0		 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NiH		0     		 1.25200E+01	-3.43310E+00	1.96300E-01	-2.53770E-02	 1.24120E-03	1	0	0	0	0	0	0	0	0	0	0	0 	0	0	0	0	0	0	0	0	0	0	1
NiO		0     		 1.30130E+01	-5.01710E+00	2.10760E-01	-2.82510E-02	 1.40000E-03	0	0	0	0	1	0	0	0	0	0	0	0 	0	0	0	0	0	0	0	0	0	0	1
O		1       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O2		54      	 3.17263E+05	-1.21503E+05	3.11753E+01	 2.53855E-04	-1.73743E-08	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OH		4      		 4.15670E+05	-1.05260E+05	2.54985E+01	 4.78020E-04	-2.82416E-08	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P		0		 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PH		0      		 3.31648E+05	-7.38466E+04	2.28504E+01	 2.55732E-04	-7.78115E-09	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PH2		0     		 5.75972E+05	-1.58572E+05	4.95029E+01	 5.02064E-04	-1.46743E-08	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PH3		0     		 8.43855E+05	-2.37749E+05	8.14198E+01	 3.66264E-04	-1.23043E-08	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PO		0      		 1.28604E+05	-1.43605E+05	2.63196E+01	 2.83274E-04	 0.00000E+00	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PS		0      		 1.35050E+05	-1.09920E+05	2.48638E+01	 2.02791E-04	 2.43618E-09	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
P2		0      		 9.29353E+04	-1.17921E+05	2.74788E+01	 1.96149E-04	 1.92519E-08	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
S		40       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SH		46      	 3.65656E+05	-8.77172E+04	2.41557E+01	 3.40917E-04	-2.09217E-08	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SN		0      		 2.71848E+05	-1.18293E+05	2.65189E+01	 1.88122E-04	-5.20791E-09	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
